serial,juso,x,y
2011380000093,경상남도 창원시 대방동 ,128.71808370801884,35.21108619153433
2011380000316,경상남도 창원시 사파동 ,128.6991860405208,35.223018308558096
2011380000346,경상남도 창원시 중앙동 78-9,128.6781366101798,35.22716923078666
2011380000356,경상남도 창원시 상남동,128.5739815188047,35.21337024432198
2011380000436,경상남도 창원시 중앙동 95-4,128.67745693139426,35.22338992678178
2011380000562,경상남도 창원시 상남동 18-8,128.68470315061958,35.22136427074821
2011380000601,경상남도 창원시 사파동 145,128.69609150697755,35.21934149166465
2011380000692,경상남도 창원시 두대동,128.66132743774156,35.233608763042554
2011380000777,경상남도 창원시 안민동 197,128.68844852479216,35.18882127252344
2011380000844,경상남도 창원시 반림동,128.67264838324968,35.23418099549019
2011380000888,경상남도 창원시 중앙동 16-3,128.67402055455463,35.229115193270275
2011380000899,경상남도 창원시 사파동 1,128.70065861646924,35.224745983884496
2011380001121,경상남도 창원시 신월동 35-4,128.69134646988073,35.22988725128399
2011380001068,경상남도 창원시 사파동 118-2,128.69741109765638,35.22343254135942
2011380001143,경상남도 창원시 반림동 3-1,128.67652091315682,35.23810718512545
2011380001238,경상남도 창원시 용호동 69,128.67513865242677,35.231785354708606
2011380001391,경상남도 창원시 성산동 67,128.67139691174168,35.200153740481504
2011380001515,경상남도 창원시 상남동 63,128.68012282233963,35.21802854069783
2011380001793,경상남도 창원시 중앙동 93-2,128.6796372286836,35.224520457882484
2011380001951,경상남도 창원시 봉곡동 149-6,128.6722628995569,35.248360682637006
2011380001971,경상남도 창원시 상남동 31-9,128.68073922077804,35.21958810523067
2011380002109,경상남도 창원시 상남동 44-3,128.68830575572912,35.217777686975325
2011380002173,경상남도 창원시 용호동 67-2,128.67780754478355,35.23487020118577
2011380002309,경상남도 창원시 용호동 67-2,128.67780754478355,35.23487020118577
2011380002766,경상남도 창원시 반림동 18,128.67238469083384,35.23417743033706
2011380002876,경상남도 창원시 봉곡동 81-1,128.65992756284527,35.24554931570087
2011380002984,경상남도 창원시 신월동 50-7,128.68883531544245,35.228282106632705
2011380002990,경상남도 창원시 상남동 44-1,128.6884857628898,35.21946946712193
2011380003048,경상남도 창원시 중앙동 47-16,128.67353333790516,35.222077995529354
2011380003082,경상남도 창원시 두대동 146,128.66490734114868,35.233779460091355
2011380003183,경상남도 창원시 용호동 18-18,128.68430114342218,35.23655719145171
2011380003259,경상남도 창원시 남양동,128.70245582445705,35.210254384887286
2011380003302,경상남도 창원시 내동 456-3,128.6689947523033,35.21604120035904
2011380003355,경상남도 창원시 사파동 105-10,128.69910471992694,35.222067765608294
2011380003442,경상남도 창원시 상남동 43-2,128.57372310912586,35.21545726341487
2011380003587,경상남도 창원시 도계동 341-1,128.6366013380008,35.25947193258351
2011380003648,경상남도 창원시 도계동 348-2,128.63567193992262,35.257620776645794
2011380003720,경상남도 창원시 도계동 ,128.64040957994885,35.261976213331444
2011380003788,경상남도 창원시 소답동,128.62943284567788,35.26517069486355
2011380003881,경상남도 창원시 소답동 113-10,128.62476773297493,35.26200706928654
2011380003996,경상남도 창원시 도계동 395-1,128.6397983867676,35.25978191710614
2011380004035,경상남도 창원시 소계동 716-11,128.59838176070784,35.25834632421988
2011380004052,경상남도 창원시 동읍 ,128.68239185897085,35.284701367942624
2011380004123,경상남도 창원시 북동,128.62149011525025,35.26625795499728
2011380004183,경상남도 창원시 북면 298,128.58992320111284,35.341150359975536
2011380004119,경상남도 창원시 도계동 348-4,128.63569617777623,35.25729600917544
2011380004382,경상남도 창원시 중동 449-12,128.62349623223773,35.26524691213596
2011380004414,경상남도 창원시 도계동 357-1,128.6391131334159,35.25914592980271
2011380004616,경상남도 창원시 서상동 345-4,128.61760666700883,35.262384220595
2011380004734,경상남도 창원시 소답동 408-6,128.6262318624276,35.26797150911317
2011380004877,경상남도 창원시 소답동 271-11,128.62742725270647,35.261149404885714
2011380005031,경상남도 창원시 동정동 306-7,128.6144558567996,35.263298697043886
2011380005156,경상남도 창원시 반지동 96-4,128.65714670114326,35.241697768728365
2011380005255,경상남도 창원시 중동 412-5,128.62295224690175,35.2628749842975
2011380005335,경상남도 창원시 봉곡동 31-4,128.64947279203756,35.24464327383896
2011380005424,경상남도 창원시 대원동 ,128.64468318003762,35.22484551262666
2011380005429,경상남도 창원시 반송동 163,128.67125767421894,35.243489972505444
2011380005397,경상남도 창원시 반림동 17-1,128.67108278484278,35.2360375081172
2011380005519,경상남도 창원시 반지동 40-1,128.66135706427173,35.24216994930134
2011380005578,경상남도 창원시 신월동 ,128.55730122568332,35.192587088547064
2011380006026,경상남도 창원시 봉곡동 112-1,128.66526628403204,35.24875638993333
2011380006267,경상남도 창원시 봉곡동 40,128.65233926609355,35.243414550793666
2011380006444,경상남도 창원시 사림동 118-7,128.68198592894757,35.24720933152398
2011380006445,경상남도 창원시 명서동 17-20,128.64175198262365,35.24986722335299
2011380006494,경상남도 창원시 명서동 165-13,128.65127628844732,35.248201927496396
2011380006514,경상남도 창원시 반림동 4-1,128.67476732621813,35.23701756287772
2011380006561,경상남도 창원시 명서동 70-6,128.64850349600746,35.24950865799547
2011380006751,경상남도 창원시 반림동 7-1,128.6707454210675,35.23779774120939
2011380006825,경상남도 창원시 반림동,128.67264838324968,35.23418099549019
2011380006838,경상남도 창원시 반지동 102-13,128.6611086026827,35.24162181402138
2011380006854,경상남도 창원시 대원동 80-1,128.65408714079373,35.22583847168455
2011380006857,경상남도 창원시 용호동 69,128.67513865242677,35.231785354708606
2011380006873,경상남도 창원시 대원동 41-2,128.64834913020607,35.23406742489428
2011380006909,경상남도 창원시 사림동 115-3,128.680773525989,35.24637903704961
2011380007011,경상남도 창원시 사림동 95-16,128.67670794759312,35.24527107456871
2011380007201,경상남도 창원시 두대동,128.66132743774156,35.233608763042554
2011380007456,경상남도 창원시 팔용동 ,128.61214705916208,35.25413699445802
2011380007448,경상남도 창원시 팔용동 64-1,128.61798534498035,35.246499578500135
2011380007594,경상남도 창원시 명서동 196-15,128.64772144473304,35.24191660809382
2011380007605,경상남도 창원시 소계동 703-15,128.60060903014417,35.25941276778281
2011380007619,경상남도 창원시 팔용동 24-1,128.6104177822664,35.25091921686162
2011380007708,경상남도 창원시 명서동 83-1,128.6412796663635,35.24823701270794
2011380007729,경상남도 창원시 팔용동 ,128.61214705916208,35.25413699445802
2011380007842,경상남도 창원시 팔용동 124-2,128.6160523620511,35.25493925245944
2011380007851,경상남도 창원시 팔용동 124-2,128.6160523620511,35.25493925245944
2011380007855,경상남도 창원시 소답동 137-2,128.6269720902948,35.26278493715621
2011380007856,경상남도 창원시 팔용동 126-4,128.61227212725035,35.258010596364905
2011380007863,경상남도 창원시 소답동 ,128.62943284567788,35.26517069486355
2011380007875,경상남도 창원시 팔용동 25-1,128.60912497094657,35.25021183207258
2011380007997,경상남도 창원시 두대동,128.66132743774156,35.233608763042554
2011380008103,경상남도 마산시 구암동,128.5935211457224,35.24938013890315
2011380008202,경상남도 창원시 소계동 723-2,128.59795656618462,35.25773189704798
2011380008203,경상남도 창원시 소계동 712-6,128.60096860645766,35.25668991012776
2011380008222,경상남도 창원시 소답동 135-20,128.62733680578106,35.2636596240372
2011380008238,경상남도 창원시 팔용동 124-2,128.6160523620511,35.25493925245944
