Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,x,y
11,양산부산대학교병원,상급종합병원,권역응급의료센터,50612,경남,양산시,경상남도 양산시 물금읍 금오로 20,129.00650574074464,35.32638359413962
26,경상대학교병원,상급종합병원,지역응급의료센터,52727,경남,진주시,경상남도 진주시 강남로 79 (칠암동),128.09602698658568,35.17538996467412
55,학교법인성균관대학삼성창원병원,종합병원,권역응급의료센터,,경남,창원시,"경상남도 창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)",128.59196368166963,35.24299470169159
101,의료법인갑을의료재단갑을장유병원,종합병원,지역응급의료센터,50971,경남,김해시,경상남도 김해시 장유로 167-13 (부곡동),128.8056177187573,35.20866573069008
112,의료법인보원의료재단경희의료원교육협력중앙병원,종합병원,지역응급의료센터,621921,경남,김해시,경상남도 김해시 분성로 94-8 (외동),128.85707386379502,35.23073419273436
124,의료법인한마음국제의료재단한마음창원병원,종합병원,지역응급의료센터,51497,경남,창원시,경상남도 창원시 성산구 원이대로682번길 21 (상남동),128.68719164935337,35.220828527758115
132,재단법인대구포교성베네딕도수녀회창원파티마병원,종합병원,지역응급의료센터,641560,경남,창원시,경상남도 창원시 의창구 창이대로 45 (명서동),128.64448527678383,35.23724183205323
135,제일병원,종합병원,지역응급의료센터,52709,경남,진주시,경상남도 진주시 진주대로 885 (강남동),128.089946499728,35.17939974852005
139,창원경상대학교병원,종합병원,지역응급의료센터,51472,경남,창원시,"경상남도 창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",128.7078072393552,35.19921298418469
158,강일병원,종합병원,지역응급의료기관,50905,경남,김해시,"경상남도 김해시 가락로 359 (구산동, 강일병원)",128.8696110990275,35.25670435376249
162,경상남도마산의료원,종합병원,지역응급의료기관,51736,경남,창원시,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),128.5655606205448,35.19917138155084
183,근로복지공단 창원병원,종합병원,지역응급의료기관,51524,경남,창원시,경상남도 창원시 성산구 창원대로 721 (중앙동),128.67242386402265,35.21874799964952
188,김해복음병원,종합병원,지역응급의료기관,621912,경남,김해시,경상남도 김해시 활천로 33 (삼정동),128.8935457970588,35.23048978321446
209,베데스다병원,종합병원,지역응급의료기관,50576,경남,양산시,경상남도 양산시 신기로 28 (신기동),129.04360027467894,35.353232448406246
234,연세에스병원,종합병원,지역응급의료기관,51659,경남,창원시,경상남도 창원시 진해구 해원로32번길 13 (이동),128.6983352518477,35.15473210031462
244,의료법인 거붕 백병원,종합병원,지역응급의료기관,53290,경남,거제시,경상남도 거제시 계룡로5길 14 (상동동),128.62562676429363,34.87365452472217
